state,datetime,f_paldang,f_seongsan,p_gwangam,p_oryun,p_songpa,p_sinchun,p_hong,p_seogang
0,2015-10-21 0:00,50916,26155,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-21 0:01,50855,26070,0.848,5.28,5.318,5.188,4.463,5.16
0,2015-10-21 0:02,51300,26131,0.837,5.28,5.315,5.195,4.456,5.14
0,2015-10-21 0:03,50333,26249,0.833,5.27,5.307,5.177,4.449,5.14
0,2015-10-21 0:04,51253,26300,0.826,5.26,5.293,5.17,4.43,5.12
0,2015-10-21 0:05,51683,25983,0.826,5.26,5.295,5.17,4.441,5.13
0,2015-10-21 0:06,50229,25805,0.819,5.27,5.3,5.162,4.452,5.16
0,2015-10-21 0:07,51172,25858,0.819,5.27,5.298,5.165,4.441,5.14
0,2015-10-21 0:08,51326,25865,0.815,5.26,5.3,5.175,4.452,5.14
0,2015-10-21 0:09,51200,25905,0.819,5.26,5.298,5.168,4.449,5.14
0,2015-10-21 0:00,50916,26155,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-21 0:01,50855,26070,0.848,5.28,5.318,5.188,4.463,5.16
0,2015-10-21 0:02,51300,26131,0.837,5.28,5.315,5.195,4.456,5.14
0,2015-10-21 0:03,50333,26249,0.833,5.27,5.307,5.177,4.449,5.14
0,2015-10-21 0:04,51253,26300,0.826,5.26,5.293,5.17,4.43,5.12
0,2015-10-21 0:05,51683,25983,0.826,5.26,5.295,5.17,4.441,5.13
0,2015-10-21 0:06,50229,25805,0.819,5.27,5.3,5.162,4.452,5.16
0,2015-10-21 0:07,51172,25858,0.819,5.27,5.298,5.165,4.441,5.14
0,2015-10-21 0:08,51326,25865,0.815,5.26,5.3,5.175,4.452,5.14
0,2015-10-21 0:09,51200,25905,0.819,5.26,5.298,5.168,4.449,5.14
0,2015-10-21 0:00,50916,26155,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-21 0:01,50855,26070,0.848,5.28,5.318,5.188,4.463,5.16
0,2015-10-21 0:02,51300,26131,0.837,5.28,5.315,5.195,4.456,5.14
0,2015-10-21 0:03,50333,26249,0.833,5.27,5.307,5.177,4.449,5.14
0,2015-10-21 0:04,51253,26300,0.826,5.26,5.293,5.17,4.43,5.12
0,2015-10-21 0:05,51683,25983,0.826,5.26,5.295,5.17,4.441,5.13
0,2015-10-21 0:06,50229,25805,0.819,5.27,5.3,5.162,4.452,5.16
0,2015-10-21 0:07,51172,25858,0.819,5.27,5.298,5.165,4.441,5.14
0,2015-10-21 0:08,51326,25865,0.815,5.26,5.3,5.175,4.452,5.14
0,2015-10-21 0:09,51200,25905,0.819,5.26,5.298,5.168,4.449,5.14
0,2015-10-21 0:00,50916,26155,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-21 0:01,50855,26070,0.848,5.28,5.318,5.188,4.463,5.16
0,2015-10-21 0:02,51300,26131,0.837,5.28,5.315,5.195,4.456,5.14
0,2015-10-21 0:03,50333,26249,0.833,5.27,5.307,5.177,4.449,5.14
0,2015-10-21 0:04,51253,26300,0.826,5.26,5.293,5.17,4.43,5.12
0,2015-10-21 0:05,51683,25983,0.826,5.26,5.295,5.17,4.441,5.13
0,2015-10-21 0:06,50229,25805,0.819,5.27,5.3,5.162,4.452,5.16
0,2015-10-21 0:07,51172,25858,0.819,5.27,5.298,5.165,4.441,5.14
0,2015-10-21 0:08,51326,25865,0.815,5.26,5.3,5.175,4.452,5.14
0,2015-10-21 0:09,51200,25905,0.819,5.26,5.298,5.168,4.449,5.14
0,2015-10-21 0:10,51967,25903,0.822,5.27,5.298,5.168,4.456,5.14
0,2015-10-21 0:11,50676,25607,0.822,5.26,5.302,5.175,4.449,5.14
0,2015-10-21 0:12,51189,25750,0.822,5.26,5.3,5.175,4.452,5.15
0,2015-10-21 0:13,50564,25694,0.822,5.26,5.305,5.173,4.452,5.14
