,current_5576,current_2409,current_2410,current_28987,current_17529,current_20245,current_18538,current_25513,current_27775
2017-11-30 00:00:00,246.0,244.25,244.0,44.666666666666664,203.0,14.666666666666664,187.0,102.0,54.0
2017-11-30 04:00:00,248.0,249.5,250.25,51.0,203.75,21.0,185.25,97.25,56.0
2017-11-30 08:00:00,315.75,319.0,318.5,51.0,266.75,21.0,236.25,136.25,65.75
2017-11-30 12:00:00,324.75,325.25,325.25,46.5,278.5,16.5,247.0,150.25,73.75
2017-11-30 16:00:00,412.0,411.0,410.75,62.5,350.5,32.5,324.0,191.75,98.0
2017-11-30 20:00:00,384.5,386.25,386.25,66.33333333333333,323.5,36.33333333333333,300.25,171.75,93.25
2017-12-01 00:00:00,268.5,252.5,252.5,41.0,209.75,11.0,190.0,111.33333333333333,61.5
2017-12-01 04:00:00,246.5,250.75,250.75,47.75,203.5,17.75,188.5,100.25,58.0
2017-12-01 08:00:00,327.5,326.75,326.75,49.0,278.25,19.0,245.5,143.0,71.75
2017-12-01 12:00:00,347.0,331.5,332.0,43.0,290.25,13.0,257.5,154.75,76.25
2017-12-01 16:00:00,409.75,408.0,408.25,61.25,350.25,31.25,323.75,194.25,99.25
2017-12-01 20:00:00,388.25,380.0,381.0,68.0,319.25,38.0,297.0,169.5,89.5
2017-12-02 00:00:00,252.75,256.75,256.5,40.0,213.25,10.0,197.25,101.66666666666667,63.75
2017-12-02 04:00:00,229.5,233.25,233.75,43.5,189.5,13.5,176.0,95.5,53.5
2017-12-02 08:00:00,318.25,320.75,321.0,54.25,268.5,24.25,251.5,142.5,72.25
2017-12-02 12:00:00,323.75,324.75,325.25,48.25,277.25,18.25,259.5,153.75,76.25
2017-12-02 16:00:00,386.5,380.0,380.0,63.5,316.0,33.5,296.75,174.0,86.25
2017-12-02 20:00:00,363.75,359.25,359.25,60.666666666666664,296.75,30.666666666666664,274.75,156.0,79.33333333333333
2017-12-03 00:00:00,253.5,251.25,251.0,45.333333333333336,205.25,15.333333333333336,188.0,102.25,52.5
2017-12-03 04:00:00,228.0,227.0,227.25,44.0,185.5,14.0,168.75,90.66666666666667,51.0
2017-12-03 08:00:00,291.75,293.5,293.5,62.333333333333336,231.5,32.333333333333336,216.75,112.75,54.5
2017-12-03 12:00:00,300.0,304.5,304.25,57.0,248.75,27.0,231.25,127.25,64.33333333333333
2017-12-03 16:00:00,368.75,368.25,368.25,69.25,299.75,39.25,282.0,152.0,79.0
2017-12-03 20:00:00,357.5,352.0,352.5,67.66666666666667,287.0,37.66666666666667,267.5,141.5,78.5
2017-12-04 00:00:00,238.0,237.0,237.0,41.0,195.25,11.0,179.25,96.75,51.0
2017-12-04 04:00:00,243.75,246.0,246.0,50.0,196.0,20.0,184.75,94.5,52.5
2017-12-04 08:00:00,320.5,319.5,319.75,55.333333333333336,270.0,25.333333333333336,238.25,140.75,70.5
2017-12-04 12:00:00,331.5,329.5,330.25,45.25,285.75,15.25,250.0,150.75,71.75
2017-12-04 16:00:00,417.0,414.75,414.5,62.75,353.5,32.75,326.75,193.25,98.75
2017-12-04 20:00:00,387.5,384.75,385.5,67.5,323.0,37.5,298.0,170.0,93.0
2017-12-05 00:00:00,272.5,252.25,251.5,43.333333333333336,209.0,13.333333333333336,188.25,105.75,55.5
2017-12-05 04:00:00,271.75,260.25,260.0,50.25,212.25,20.25,192.75,102.25,59.25
2017-12-05 08:00:00,327.0,331.25,331.5,49.333333333333336,283.25,19.333333333333336,246.0,144.5,71.75
2017-12-05 12:00:00,343.75,344.25,344.75,45.5,298.5,15.5,260.25,159.5,76.25
2017-12-05 16:00:00,419.25,422.75,422.5,63.75,363.25,33.75,332.25,197.5,99.25
2017-12-05 20:00:00,396.0,391.5,391.5,67.66666666666667,327.0,37.66666666666667,300.25,182.33333333333334,91.5
2017-12-06 00:00:00,257.5,255.0,255.25,43.5,214.25,13.5,190.25,114.0,76.0
2017-12-06 04:00:00,252.0,249.0,249.75,51.0,202.25,21.0,183.0,94.0,54.0
2017-12-06 08:00:00,344.75,337.5,338.25,56.333333333333336,282.25,26.333333333333336,244.75,143.75,76.0
2017-12-06 12:00:00,338.75,339.5,339.0,47.25,293.0,17.25,253.5,152.25,77.25
2017-12-06 16:00:00,419.25,414.75,415.25,63.25,354.0,33.25,326.75,192.25,100.0
2017-12-06 20:00:00,389.5,386.5,386.75,65.0,324.5,35.0,300.0,172.5,89.25
2017-12-07 00:00:00,259.75,251.5,251.25,43.75,211.0,13.75,190.25,107.25,60.0
2017-12-07 04:00:00,266.0,249.75,250.5,50.0,201.75,20.0,186.75,97.25,55.25
2017-12-07 08:00:00,329.75,334.0,334.0,57.0,282.25,27.0,244.5,145.25,75.25
2017-12-07 12:00:00,352.0,339.25,339.25,48.0,294.75,18.0,257.0,157.75,78.0
2017-12-07 16:00:00,412.5,414.25,413.75,63.0,350.5,33.0,324.5,193.5,97.75
2017-12-07 20:00:00,397.75,387.25,387.75,65.25,324.0,35.25,299.5,171.25,90.0
2017-12-08 00:00:00,259.5,255.75,256.0,44.0,213.75,14.0,194.5,109.75,63.75
2017-12-08 04:00:00,256.5,257.5,257.5,51.0,207.0,21.0,188.75,100.0,56.5
2017-12-08 08:00:00,335.0,336.5,337.0,53.75,286.0,23.75,249.5,149.5,76.25
2017-12-08 12:00:00,357.5,342.25,342.25,45.25,298.0,15.25,262.0,158.75,77.75
2017-12-08 16:00:00,419.0,419.25,419.75,59.75,360.0,29.75,331.5,199.5,99.5
2017-12-08 20:00:00,392.5,386.5,386.5,64.25,324.75,34.25,300.0,172.25,90.75
2017-12-09 00:00:00,297.25,257.5,258.25,44.75,214.25,14.75,197.0,110.25,65.5
2017-12-09 04:00:00,239.5,237.5,238.0,45.25,194.5,15.25,177.25,96.75,55.0
2017-12-09 08:00:00,340.75,334.25,334.5,58.75,279.25,28.75,255.75,142.0,71.5
2017-12-09 12:00:00,335.0,335.75,335.5,52.75,285.75,22.75,264.5,153.5,74.75
2017-12-09 16:00:00,383.5,383.75,383.5,65.0,320.25,35.0,296.5,173.25,87.5
2017-12-09 20:00:00,370.0,362.0,362.75,64.0,299.5,34.0,276.5,156.75,84.0
2017-12-10 00:00:00,258.75,254.25,254.0,45.5,209.75,15.5,188.75,105.0,58.75
2017-12-10 04:00:00,260.75,233.5,233.75,45.75,187.5,15.75,172.75,96.0,53.0
2017-12-10 08:00:00,302.5,303.0,302.75,65.75,238.75,35.75,219.5,115.0,58.75
2017-12-10 12:00:00,320.75,317.75,318.0,61.0,257.5,31.0,236.0,127.25,66.75
2017-12-10 16:00:00,369.5,372.5,372.0,70.0,302.0,40.0,281.75,151.5,82.25
2017-12-10 20:00:00,360.0,357.75,357.5,67.5,291.25,37.5,269.25,143.0,80.5
2017-12-11 00:00:00,246.75,243.25,243.5,43.25,201.0,13.25,181.25,96.0,56.5
2017-12-11 04:00:00,276.25,258.25,258.5,50.25,208.25,20.25,190.5,101.5,57.5
2017-12-11 08:00:00,362.75,353.25,353.25,59.25,297.25,29.25,260.25,158.75,79.75
2017-12-11 12:00:00,365.0,363.0,363.0,50.75,313.75,20.75,273.5,168.75,82.5
2017-12-11 16:00:00,443.5,442.0,441.75,65.0,377.5,35.0,345.5,206.5,106.0
2017-12-11 20:00:00,414.5,410.0,410.75,66.0,347.25,36.0,315.5,181.5,97.25
2017-12-12 00:00:00,271.25,270.0,269.75,44.5,226.75,14.5,201.5,114.25,67.75
2017-12-12 04:00:00,265.0,265.0,265.5,51.75,215.0,21.75,192.25,104.25,59.0
2017-12-12 08:00:00,351.75,355.25,355.25,57.5,303.0,27.5,258.5,152.0,74.5
2017-12-12 12:00:00,358.75,360.5,360.5,47.25,314.0,17.25,272.0,165.75,79.5
2017-12-12 16:00:00,447.25,441.5,441.75,64.25,378.25,34.25,342.75,206.0,104.5
2017-12-12 20:00:00,412.75,411.5,411.75,68.5,345.25,38.5,315.0,183.25,98.5
2017-12-13 00:00:00,289.5,271.25,271.5,47.5,226.75,17.5,200.75,114.25,68.75
2017-12-13 04:00:00,265.25,265.25,265.25,50.75,215.75,20.75,191.75,100.5,61.25
2017-12-13 08:00:00,353.5,341.5,342.5,54.75,291.5,24.75,248.5,146.25,73.5
2017-12-13 12:00:00,360.25,359.5,359.0,50.25,311.25,20.25,269.0,162.5,81.75
2017-12-13 16:00:00,452.5,449.0,450.0,66.0,384.5,36.0,349.25,212.0,108.0
2017-12-13 20:00:00,411.0,414.0,414.0,67.25,349.25,37.25,317.0,186.25,99.25
2017-12-14 00:00:00,274.75,273.75,274.0,45.0,229.5,15.0,203.0,117.0,68.25
2017-12-14 04:00:00,264.0,268.75,268.25,52.5,218.5,22.5,194.25,104.25,58.75
2017-12-14 08:00:00,356.25,353.0,353.0,57.25,303.25,27.25,258.75,156.0,78.75
2017-12-14 12:00:00,381.5,376.0,376.0,50.5,326.5,20.5,283.75,177.0,86.75
2017-12-14 16:00:00,449.25,442.5,443.25,66.25,378.25,36.25,343.25,207.5,105.0
2017-12-14 20:00:00,410.5,415.0,414.5,68.5,347.0,38.5,314.5,186.25,100.0
2017-12-15 00:00:00,270.25,271.0,271.5,47.0,226.25,17.0,200.25,114.0,65.75
2017-12-15 04:00:00,260.75,265.25,265.25,51.25,214.0,21.25,190.25,101.0,57.5
2017-12-15 08:00:00,351.5,358.25,358.25,54.75,304.0,24.75,261.5,156.5,80.5
2017-12-15 12:00:00,368.5,362.5,363.75,48.0,316.5,18.0,273.5,170.25,85.0
