,index,data
0,2016010000,9.5019
1,2016010005,21.1818
2,2016010010,21.6111
3,2016010015,17.7635
4,2016010020,18.3784
5,2016010025,22.1549
6,2016010030,17.4001
7,2016010035,15.5633
8,2016010040,11.8134
9,2016010045,16.6569
10,2016010050,19.2999
11,2016010055,16.3998
12,2016010100,15.56
13,2016010105,16.9117
14,2016010110,22.2949
15,2016010115,25.8865
16,2016010120,21.2989
17,2016010125,20.95
18,2016010130,19.9694
19,2016010135,15.3535
20,2016010140,16.6098
21,2016010145,19.6752
22,2016010150,21.1751
23,2016010155,14.9633
24,2016010200,16.6051
25,2016010205,16.205
26,2016010210,17.08
27,2016010215,13.7148
28,2016010220,17.5748
29,2016010225,20.1286
30,2016010230,20.6681
31,2016010235,28.2165
32,2016010240,26.0769
33,2016010245,24.421999999999997
34,2016010250,17.7603
35,2016010255,18.0197
36,2016010300,19.2448
37,2016010305,19.6483
38,2016010310,16.67
39,2016010315,14.9496
40,2016010320,20.0521
41,2016010325,19.0687
42,2016010330,20.8082
43,2016010335,16.8602
44,2016010340,19.2943
45,2016010345,16.7382
46,2016010350,19.0904
47,2016010355,22.035
48,2016010400,13.6032
49,2016010405,17.0238
50,2016010410,19.4696
51,2016010415,19.2729
52,2016010420,19.8087
53,2016010425,18.0435
54,2016010430,20.0802
55,2016010435,21.4069
56,2016010440,23.3199
57,2016010445,20.2066
58,2016010450,19.2637
59,2016010455,21.8418
60,2016010500,24.0549
61,2016010505,20.6144
62,2016010510,21.5666
63,2016010515,20.0619
64,2016010520,21.1734
65,2016010525,26.0831
66,2016010530,25.4969
67,2016010535,21.4113
68,2016010540,21.6316
69,2016010545,20.5567
70,2016010550,25.5182
71,2016010555,22.9504
72,2016010600,34.3982
73,2016010605,34.0817
74,2016010610,23.45
75,2016010615,29.0083
76,2016010620,42.8952
77,2016010625,31.0898
78,2016010630,26.9282
79,2016010635,23.8098
80,2016010640,35.2768
81,2016010645,26.0701
82,2016010650,30.1383
83,2016010655,39.6865
84,2016010700,29.166999999999998
85,2016010705,23.6885
86,2016010710,24.4222
87,2016010715,27.9541
88,2016010720,32.6004
89,2016010725,31.2072
90,2016010730,22.3012
91,2016010735,23.725
92,2016010740,27.3286
93,2016010745,28.8237
94,2016010750,24.6399
95,2016010755,23.3366
96,2016010800,25.273000000000003
97,2016010805,21.9449
98,2016010810,27.2655
99,2016010815,27.3003
100,2016010820,34.8282
101,2016010825,29.7834
102,2016010830,38.1057
103,2016010835,28.3686
104,2016010840,39.1303
105,2016010845,30.6936
106,2016010850,46.4984
107,2016010855,32.4339
108,2016010900,22.9603
109,2016010905,35.7966
110,2016010910,39.858000000000004
111,2016010915,41.3001
112,2016010920,31.5568
113,2016010925,41.2883
114,2016010930,53.6263
115,2016010935,69.955
116,2016010940,47.1732
117,2016010945,54.5172
118,2016010950,44.2144
119,2016010955,36.9077
120,2016011000,29.4602
121,2016011005,43.7215
122,2016011010,31.2487
123,2016011015,37.3283
124,2016011020,25.1518
125,2016011025,37.7316
126,2016011030,35.5512
127,2016011035,28.5803
128,2016011040,34.0367
129,2016011045,39.5738
130,2016011050,30.3845
131,2016011055,33.3501
132,2016011100,40.7405
133,2016011105,37.3419
134,2016011110,34.5756
135,2016011115,45.1784
136,2016011120,35.7152
137,2016011125,34.2099
138,2016011130,44.1766
139,2016011135,40.4035
140,2016011140,56.0549
141,2016011145,49.54
142,2016011150,43.667
143,2016011155,43.5933
144,2016011200,44.4744
145,2016011205,52.9755
146,2016011210,44.5124
147,2016011215,31.7519
148,2016011220,31.8568
149,2016011225,31.7501
150,2016011230,25.2083
151,2016011235,49.9919
152,2016011240,31.1734
153,2016011245,28.5045
154,2016011250,34.5868
155,2016011255,42.3639
156,2016011300,44.353
157,2016011305,37.8397
158,2016011310,47.2789
159,2016011315,34.5495
160,2016011320,31.2303
161,2016011325,51.7634
162,2016011330,39.6552
163,2016011335,41.7434
164,2016011340,49.9001
165,2016011345,40.9039
166,2016011350,41.1398
167,2016011355,38.8141
168,2016011400,45.4246
169,2016011405,42.8453
170,2016011410,34.4779
171,2016011415,34.6919
172,2016011420,28.5764
173,2016011425,30.0383
174,2016011430,28.1436
175,2016011435,39.1098
176,2016011440,43.5415
177,2016011445,48.3634
178,2016011450,33.0648
179,2016011455,28.7303
180,2016011500,51.6702
181,2016011505,45.6368
182,2016011510,40.0882
