month,passengers
0,9.5019
1,21.1818
2,21.6111
3,17.7635
4,18.3784
5,22.1549
6,17.4001
7,15.5633
8,11.8134
9,16.6569
10,19.2999
11,16.3998
12,15.56
13,16.9117
14,22.2949
15,25.8865
16,21.2989
17,20.95
18,19.9694
19,15.3535
20,16.6098
21,19.6752
22,21.1751
23,14.9633
24,16.6051
25,16.205
26,17.08
27,13.7148
28,17.5748
29,20.1286
30,20.6681
31,28.2165
32,26.0769
33,24.422
34,17.7603
35,18.0197
36,19.2448
37,19.6483
38,16.67
39,14.9496
40,20.0521
41,19.0687
42,20.8082
43,16.8602
44,19.2943
45,16.7382
46,19.0904
47,22.035
48,13.6032
49,17.0238
50,19.4696
51,19.2729
52,19.8087
53,18.0435
54,20.0802
55,21.4069
56,23.3199
57,20.2066
58,19.2637
59,21.8418
60,24.0549
61,20.6144
62,21.5666
63,20.0619
64,21.1734
65,26.0831
66,25.4969
67,21.4113
68,21.6316
69,20.5567
70,25.5182
71,22.9504
72,34.3982
73,34.0817
74,23.45
75,29.0083
76,42.8952
77,31.0898
78,26.9282
79,23.8098
80,35.2768
81,26.0701
82,30.1383
83,39.6865
84,29.167
85,23.6885
86,24.4222
87,27.9541
88,32.6004
89,31.2072
90,22.3012
91,23.725
92,27.3286
93,28.8237
94,24.6399
95,23.3366
96,25.273
97,21.9449
98,27.2655
99,27.3003
100,34.8282
101,29.7834
102,38.1057
103,28.3686
104,39.1303
105,30.6936
106,46.4984
107,32.4339
108,22.9603
109,35.7966
110,39.858
111,41.3001
112,31.5568
113,41.2883
114,53.6263
115,69.955
116,47.1732
117,54.5172
118,44.2144
119,36.9077
120,29.4602
121,43.7215
122,31.2487
123,37.3283
124,25.1518
125,37.7316
126,35.5512
127,28.5803
128,34.0367
129,39.5738
130,30.3845
131,33.3501
132,40.7405
133,37.3419
134,34.5756
135,45.1784
136,35.7152
137,34.2099
138,44.1766
139,40.4035
140,56.0549
141,49.54
142,43.667
143,43.5933
144,44.4744
145,52.9755
146,44.5124
147,31.7519
148,31.8568
149,31.7501
150,25.2083
151,49.9919
152,31.1734
153,28.5045
154,34.5868
155,42.3639
156,44.353
157,37.8397
158,47.2789
159,34.5495
160,31.2303
161,51.7634
162,39.6552
163,41.7434
164,49.9001
165,40.9039
166,41.1398
167,38.8141
168,45.4246
169,42.8453
170,34.4779
171,34.6919
172,28.5764
173,30.0383
174,28.1436
175,39.1098
176,43.5415
