state,datetime,p_gwangam,p_oryun,p_songpa,p_sincheon,p_hong,p_seong
0,2015-10-21 0:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-21 0:01,0.848,5.28,5.318,5.188,4.463,5.16
0,2015-10-21 0:02,0.837,5.28,5.315,5.195,4.456,5.14
0,2015-10-21 0:03,0.833,5.27,5.307,5.177,4.449,5.14
0,2015-10-21 0:04,0.826,5.26,5.293,5.17,4.43,5.12
0,2015-10-21 0:05,0.826,5.26,5.295,5.17,4.441,5.13
0,2015-10-21 0:06,0.819,5.27,5.3,5.162,4.452,5.16
0,2015-10-21 0:07,0.819,5.27,5.298,5.165,4.441,5.14
0,2015-10-21 0:08,0.815,5.26,5.3,5.175,4.452,5.14
0,2015-10-21 0:09,0.819,5.26,5.298,5.168,4.449,5.14
0,2015-10-21 0:10,0.822,5.27,5.298,5.168,4.456,5.14
0,2015-10-21 0:11,0.822,5.26,5.302,5.175,4.449,5.14
0,2015-10-21 0:12,0.822,5.26,5.3,5.175,4.452,5.15
0,2015-10-21 0:13,0.822,5.26,5.305,5.173,4.452,5.14
0,2015-10-21 0:14,0.819,5.26,5.302,5.175,4.449,5.15
0,2015-10-21 0:15,0.822,5.26,5.302,5.175,4.449,5.14
0,2015-10-21 0:16,0.822,5.26,5.3,5.173,4.452,5.15
0,2015-10-21 0:17,0.819,5.26,5.3,5.175,4.449,5.14
0,2015-10-21 0:18,0.822,5.26,5.305,5.175,4.452,5.14
0,2015-10-21 0:19,0.819,5.26,5.302,5.173,4.452,5.14
0,2015-10-21 0:20,0.822,5.26,5.302,5.177,4.452,5.14
0,2015-10-21 0:21,0.826,5.26,5.302,5.175,4.456,5.14
0,2015-10-21 0:22,0.822,5.26,5.298,5.177,4.452,5.15
0,2015-10-21 0:23,0.822,5.27,5.302,5.177,4.452,5.15
0,2015-10-21 0:24,0.822,5.26,5.302,5.175,4.452,5.15
0,2015-10-21 0:25,0.822,5.26,5.298,5.173,4.452,5.14
