state,datetime,p_gwangam,p_oryun,p_songpa,p_sincheon,p_hong,p_seong
0,2015-10-20 22:19:59,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:21:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:22:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:23:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:24:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:25:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:26:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:27:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:28:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:29:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:30:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:31:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:32:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:33:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:34:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:35:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:36:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:37:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:38:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:39:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:40:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:41:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:42:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:43:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:44:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:45:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:46:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:47:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:48:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:49:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:50:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:51:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:52:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:53:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:54:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:55:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:56:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:57:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:58:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 22:59:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 23:00:00,0.859,5.3,5.33,5.2,4.467,5.16
0,2015-10-20 23:01:00,0.859,5.3,5.33,5.2,4.467,5.16
